"Specimen received date";"Daily cases";"Cumulative cases"
"29 Nov";7860;2974113
"30 Nov";12132;2986245
"01 Dec";15300;3001545
"02 Dec";16731;3018276
"03 Dec";16293;3034569
"04 Dec";9897;3044466
"05 Dec";5531;3049997
"06 Dec";21056;3071053
"07 Dec";23495;3094548
"08 Dec";24738;3119286
"09 Dec";28869;3148155
"10 Dec";25384;3173539
"11 Dec";15289;3188828
"12 Dec";8449;3197277
"13 Dec";27355;3224632
"14 Dec";27090;3251722
"15 Dec";25792;3277514
"16 Dec";10994;3288508
"17 Dec";20265;3308773
"18 Dec";10639;3319412
"19 Dec";6673;3326085
"20 Dec";21737;3347822
"21 Dec";20947;3368769
"22 Dec";19151;3387920
"23 Dec";15907;3403827
"24 Dec";11284;3415111
"25 Dec";3570;3418681
"26 Dec";4228;3422909
"27 Dec";5340;3428249
"28 Dec";13385;3441634
"29 Dec";12153;3453787
"30 Dec";10964;3464751
"31 Dec";8053;3472804
"01 Jan";2656;3475460
"02 Jan";3564;3479024
"03 Jan";11665;3490689
"04 Jan";10432;3501121
"05 Jan";9194;3510315
"06 Jan";8254;3518569
"07 Jan";6888;3525457
"08 Jan";3222;3528679
"09 Jan";2085;3530764
"10 Jan";7585;3538349
"11 Jan";6090;3544439
"12 Jan";5438;3549877
"13 Jan";5008;3554885
"14 Jan";4149;3559034
"15 Jan";1884;3560918
"16 Jan";1506;3562424
"17 Jan";4827;3567251
"18 Jan";3900;3571151
"19 Jan";3571;3574722
"20 Jan";3356;3578078
"21 Jan";2984;3581062
"22 Jan";1484;3582546
"23 Jan";1231;3583777
"24 Jan";4666;3588443
"25 Jan";4323;3592766
"26 Jan";3869;3596635
"27 Jan";3614;3600249
"28 Jan";3101;3603350
"29 Jan";1640;3604990
"30 Jan";1148;3606138
"31 Jan";4844;3610982
"01 Feb";3874;3614856
"02 Feb";3131;3617987
"03 Feb";3087;3621074
"04 Feb";2781;3623855
"05 Feb";1370;3625225
"06 Feb";1038;3626263
"07 Feb";3959;3630222
"08 Feb";3231;3633453
"09 Feb";3021;3636474
"10 Feb";2743;3639217
"11 Feb";2398;3641615
"12 Feb";1246;3642861
"13 Feb";1019;3643880
"14 Feb";3708;3647588
"15 Feb";3188;3650776
"16 Feb";2928;3653704
"17 Feb";2584;3656288
"18 Feb";2156;3658444
"19 Feb";1156;3659600
"20 Feb";1010;3660610
"21 Feb";3347;3663957
"22 Feb";2452;3666409
"23 Feb";2564;3668973
"24 Feb";2271;3671244
"25 Feb";1681;3672925
"26 Feb";959;3673884
"27 Feb";682;3674566
"28 Feb";2275;3676841
"01 Mar";1909;3678750
"02 Mar";2041;3680791
"03 Mar";1785;3682576
"04 Mar";1622;3684198
"05 Mar";935;3685133
"06 Mar";587;3685720
"07 Mar";2200;3687920
"08 Mar";1712;3689632
"09 Mar";1760;3691392
"10 Mar";1609;3693001
"11 Mar";1533;3694534
"12 Mar";771;3695305
"13 Mar";638;3695943
"14 Mar";2113;3698056
"15 Mar";1716;3699772
"16 Mar";1610;3701382
"17 Mar";1442;3702824
"18 Mar";1258;3704082
"19 Mar";667;3704749
"20 Mar";564;3705313
"21 Mar";829;3706142
"22 Mar";2167;3708309
"23 Mar";1831;3710140
"24 Mar";1517;3711657
"25 Mar";1414;3713071
"26 Mar";778;3713849
"27 Mar";571;3714420
"28 Mar";2024;3716444
"29 Mar";1661;3718105
"30 Mar";1812;3719917
"31 Mar";1590;3721507
"01 Apr";1234;3722741
"02 Apr";793;3723534
"03 Apr";590;3724124
"04 Apr";2076;3726200
"05 Apr";1680;3727880
"06 Apr";1479;3729359
"07 Apr";1365;3730724
"08 Apr";1084;3731808
"09 Apr";645;3732453
"10 Apr";543;3732996
"11 Apr";1851;3734847
"12 Apr";1557;3736404
"13 Apr";1892;3738296
"14 Apr";1720;3740016
"15 Apr";675;3740691
"16 Apr";1009;3741700
"17 Apr";949;3742649
"18 Apr";1366;3744015
"19 Apr";4420;3748435
"20 Apr";4475;3752910
"21 Apr";4484;3757394
"22 Apr";4363;3761757
"23 Apr";2469;3764226
"24 Apr";2005;3766231
"25 Apr";6851;3773082
"26 Apr";5947;3779029
"27 Apr";2872;3781901
"28 Apr";6774;3788675
"29 Apr";5818;3794493
"30 Apr";3153;3797646
"01 May";2332;3799978
"02 May";3458;3803436
"03 May";10068;3813504
"04 May";9588;3823092
"05 May";8935;3832027
"06 May";8410;3840437
"07 May";4000;3844437
"08 May";2807;3847244
"09 May";10720;3857964
"10 May";9338;3867302
"11 May";8745;3876047
"12 May";7858;3883905
"13 May";6323;3890228
"14 May";3065;3893293
"15 May";2265;3895558
"16 May";9094;3904652
"17 May";7318;3911970
"18 May";7098;3919068
"19 May";5560;3924628
"20 May";4642;3929270
"21 May";2111;3931381
"22 May";1536;3932917
"23 May";5723;3938640
"24 May";4628;3943268
"25 May";3979;3947247
"26 May";3349;3950596
"27 May";2427;3953023
"28 May";944;3953967
