CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
DNK,2007,27,b,7,220,183,277,308,995,0.000359824759460899,0.00317275805239438,0.0206184120453946,0.05225150415803,0.15009071160777,0.00947410137976733,0,0,0
DNK,2007,28,m,4,122,116,152,89,483,0.000401361235335885,0.00348653012023541,0.0273729802952195,0.0689957633171314,0.14532767111011,0.00928648043741877,0,0,0
DNK,2007,28,f,4,72,69,153,217,515,0.000421592728575065,0.00209616193027647,0.0148777223009855,0.0493827323829205,0.150727608498078,0.0097147705851644,0,0,0
DNK,2007,28,b,8,194,185,305,306,998,0.000411228296526741,0.00279779573711141,0.0208437498819563,0.0575332446505385,0.14911609659733,0.00950266650955557,0,0,0
DNK,2007,29,m,6,128,101,163,117,515,0.000602041853003828,0.00365799881467322,0.0238333707742859,0.0739888777677133,0.191048736178459,0.00990173379973223,0,0,0
DNK,2007,29,f,1,79,72,170,215,537,0.000105398182143766,0.00229995545127557,0.0155245797923327,0.0548697026476894,0.149338413949708,0.0101297704936569,0,0,0
DNK,2007,29,b,7,207,173,333,332,1052,0.000359824759460899,0.0029852768947529,0.0194917228625861,0.0628149851430469,0.161786091733051,0.010016838845744,0,0,0
DNK,2007,30,m,1,125,104,139,123,492,0.000100340308833971,0.00357226446745432,0.0245412926784726,0.0630948098755346,0.200846107264534,0.00945952044556943,0,0,0
DNK,2007,30,f,2,79,58,139,212,490,0.000210796364287533,0.00229995545127557,0.0125059114993791,0.0448640509884049,0.147254622127154,0.00924317978005933,0,0,0
DNK,2007,30,b,3,204,162,278,335,982,0.000154210611197528,0.00294201201222025,0.0182523647614968,0.0524401377470482,0.163248014248711,0.00935031915068494,0,0,0
DNK,2007,31,m,4,150,106,150,107,517,0.000401361235335885,0.00428671736094518,0.0250132406145971,0.0680879243261165,0.174719784368334,0.00994018713487682,0,0,0
DNK,2007,31,f,4,85,67,150,191,497,0.000421592728575065,0.00247463561213195,0.0144464839734207,0.0484144435126671,0.132668079369276,0.00937522520548875,0,0,0
