Dato,Test,Data,Correct5000,Correct7500,Correct10000,Index5000,Index7500,Index10000
2021-02-25,17026,81,30.392814478976376,42.03818202489079,52.91696352965497,0.37521993183921454,0.5189899015418615,0.6532958460451231
2021-02-26,15809,89,35.4358202916858,49.013475361212336,61.6973466315746,0.39815528417624496,0.5507132063057566,0.6932286138379168
2021-02-27,14647,67,28.356450077845416,39.22156043747687,49.37144717669351,0.42323059817679726,0.5853964244399532,0.7368872712939329
2021-02-28,14941,97,40.405827473381144,55.887799774755756,70.35063173479593,0.4165549224059912,0.5761628842758325,0.7252642446886178
2021-03-01,16463,112,43.17047663147544,59.71175706648084,75.16416549858623,0.3854506842096021,0.533140688093579,0.6711086205230913
2021-03-02,15763,97,38.711200281987686,53.54385606446181,67.40011442270692,0.39908453898956375,0.5519985161284723,0.6948465404402775
2021-03-03,15364,76,30.958945307520043,42.82123259879151,53.90265455303094,0.40735454352000056,0.5634372710367305,0.709245454645144
2021-03-04,18659,85,29.640412096013424,40.99748773996901,51.60695489302748,0.3487107305413344,0.482323385176106,0.6071406458003232
2021-03-05,15370,81,32.985413169546966,45.624165670699256,57.430940030609015,0.40722732308082676,0.563261304576534,0.709023950995173
2021-03-06,10451,76,42.13697141296679,58.282252058664106,73.36472839830184,0.5544338343811419,0.7668717376140014,0.9653253736618662
2021-03-07,11637,69,35.10364926894611,48.55402906916246,61.119003289661215,0.5087485401296538,0.7036815807124994,0.8857826563719017
2021-03-08,15188,79,32.478998112206426,44.92371167439847,56.54922020375012,0.4111265583823598,0.5686545781569426,0.7158129139715205
2021-03-09,14634,85,36.0001647800097,49.794055137439194,62.67992745598146,0.4235313503530552,0.5858124133816376,0.7374109112468407
2021-03-10,14256,62,26.814490143759357,37.088780255863966,46.68673899829615,0.4324917765122477,0.5982061331590963,0.7530119193273572
2021-03-11,17459,82,30.15604369185285,41.710689700869246,52.50472164545006,0.3677566303884494,0.5086669475715762,0.6403014834810983
2021-03-12,14897,81,33.82065140758855,46.779435351604555,58.885174267836135,0.41753890626652534,0.5775238932296859,0.7269774600967424
2021-03-13,11389,57,29.502742229214103,40.807068029946585,51.367257732845374,0.5175919689335808,0.7159134742095892,0.9011799602253574
2021-03-14,12298,70,34.07269239609639,47.128048835885686,59.32400311687456,0.4867527485156628,0.6732578405126527,0.8474857588124937
2021-03-15,15354,89,36.2734431025979,50.17204329238175,63.15573265131303,0.4075667764336843,0.5637308235099073,0.7096149736102587
2021-03-16,15280,115,47.0516827869137,65.08009341951264,81.92173790835655,0.40914506771229303,0.565913855821849,0.7123629383335353
2021-03-17,14510,81,34.540378504667935,47.77493442709157,60.138291927400026,0.4264244259835548,0.5898140052727354,0.7424480484864201
2021-03-18,17708,104,37.81583828785311,52.30542549681447,65.84119864601134,0.3636138296908953,0.5029367836232161,0.6330884485193398
2021-03-19,14978,112,46.561929093277364,64.40268478614344,81.0690272006136,0.415731509761405,0.575023971304852,0.7238306000054786
2021-03-20,11029,100,53.106428347361344,73.45478659445911,92.46366222488136,0.5310642834736135,0.734547865944591,0.9246366222488136
2021-03-21,12181,115,56.40628394354388,78.01902102243986,98.20904452098652,0.4904894255960338,0.6784262697603466,0.8539916914868394
2021-03-22,16688,113,43.08548778360665,59.59420373296953,75.01619131981408,0.3812875025097934,0.5273823339200844,0.6638601001753459
2021-03-23,16667,138,52.67070622311671,72.85211236749869,91.70502594347784,0.38167178422548337,0.5279138577354977,0.6645291735034626
2021-03-24,15994,144,56.80320260313024,78.5680237767688,98.90012004635778,0.39446668474395996,0.5456112762275611,0.6868063892108179
