"Esbjerg";"117 år";0
"Esbjerg";"118 år";0
"Esbjerg";"119 år";0
"Esbjerg";"120 år";0
"Esbjerg";"121 år";0
"Esbjerg";"122 år";0
"Esbjerg";"123 år";0
"Esbjerg";"124 år";0
"Esbjerg";"125 år";0
"Fanø";"0 år";24
"Fanø";"1 år";29
"Fanø";"2 år";30
"Fanø";"3 år";26
"Fanø";"4 år";40
"Fanø";"5 år";30
"Fanø";"6 år";21
"Fanø";"7 år";36
"Fanø";"8 år";20
"Fanø";"9 år";33
"Fanø";"10 år";31
"Fanø";"11 år";49
"Fanø";"12 år";42
"Fanø";"13 år";44
"Fanø";"14 år";37
"Fanø";"15 år";38
"Fanø";"16 år";42
"Fanø";"17 år";44
"Fanø";"18 år";47
"Fanø";"19 år";29
"Fanø";"20 år";15
"Fanø";"21 år";16
"Fanø";"22 år";8
"Fanø";"23 år";7
"Fanø";"24 år";11
"Fanø";"25 år";15
"Fanø";"26 år";12
"Fanø";"27 år";12
"Fanø";"28 år";14
"Fanø";"29 år";19
"Fanø";"30 år";19
"Fanø";"31 år";24
"Fanø";"32 år";22
"Fanø";"33 år";16
"Fanø";"34 år";22
"Fanø";"35 år";24
"Fanø";"36 år";22
"Fanø";"37 år";26
"Fanø";"38 år";34
"Fanø";"39 år";27
"Fanø";"40 år";34
"Fanø";"41 år";35
"Fanø";"42 år";40
"Fanø";"43 år";40
"Fanø";"44 år";35
"Fanø";"45 år";40
"Fanø";"46 år";42
"Fanø";"47 år";43
"Fanø";"48 år";57
"Fanø";"49 år";37
"Fanø";"50 år";35
"Fanø";"51 år";45
"Fanø";"52 år";55
"Fanø";"53 år";57
"Fanø";"54 år";45
"Fanø";"55 år";49
"Fanø";"56 år";36
"Fanø";"57 år";58
"Fanø";"58 år";48
"Fanø";"59 år";47
"Fanø";"60 år";59
"Fanø";"61 år";46
"Fanø";"62 år";64
"Fanø";"63 år";66
"Fanø";"64 år";69
"Fanø";"65 år";59
"Fanø";"66 år";67
"Fanø";"67 år";65
"Fanø";"68 år";78
"Fanø";"69 år";75
"Fanø";"70 år";70
"Fanø";"71 år";72
"Fanø";"72 år";68
"Fanø";"73 år";84
"Fanø";"74 år";83
"Fanø";"75 år";75
"Fanø";"76 år";70
"Fanø";"77 år";46
"Fanø";"78 år";49
"Fanø";"79 år";30
"Fanø";"80 år";23
"Fanø";"81 år";32
"Fanø";"82 år";25
"Fanø";"83 år";21
"Fanø";"84 år";25
"Fanø";"85 år";13
"Fanø";"86 år";15
"Fanø";"87 år";10
"Fanø";"88 år";13
"Fanø";"89 år";10
"Fanø";"90 år";9
"Fanø";"91 år";8
"Fanø";"92 år";10
"Fanø";"93 år";3
"Fanø";"94 år";3
"Fanø";"95 år";3
"Fanø";"96 år";0
"Fanø";"97 år";3
"Fanø";"98 år";0
"Fanø";"99 år";0
"Fanø";"100 år";0
"Fanø";"101 år";0
"Fanø";"102 år";0
"Fanø";"103 år";0
"Fanø";"104 år";0
"Fanø";"105 år";0
"Fanø";"106 år";0
"Fanø";"107 år";0
"Fanø";"108 år";0
"Fanø";"109 år";0
"Fanø";"110 år";0
"Fanø";"111 år";0
"Fanø";"112 år";0
"Fanø";"113 år";0
"Fanø";"114 år";0
"Fanø";"115 år";0
"Fanø";"116 år";0
"Fanø";"117 år";0
"Fanø";"118 år";0
"Fanø";"119 år";0
"Fanø";"120 år";0
"Fanø";"121 år";0
"Fanø";"122 år";0
"Fanø";"123 år";0
"Fanø";"124 år";0
"Fanø";"125 år";0
"Fredericia";"0 år";445
"Fredericia";"1 år";475
"Fredericia";"2 år";484
"Fredericia";"3 år";551
"Fredericia";"4 år";523
"Fredericia";"5 år";511
"Fredericia";"6 år";494
"Fredericia";"7 år";534
"Fredericia";"8 år";630
"Fredericia";"9 år";533
"Fredericia";"10 år";605
"Fredericia";"11 år";591
"Fredericia";"12 år";619
"Fredericia";"13 år";617
"Fredericia";"14 år";603
"Fredericia";"15 år";596
"Fredericia";"16 år";669
"Fredericia";"17 år";633
"Fredericia";"18 år";620
"Fredericia";"19 år";664
"Fredericia";"20 år";562
"Fredericia";"21 år";508
"Fredericia";"22 år";425
"Fredericia";"23 år";529
"Fredericia";"24 år";530
"Fredericia";"25 år";580
"Fredericia";"26 år";551
"Fredericia";"27 år";549
"Fredericia";"28 år";627
"Fredericia";"29 år";603
"Fredericia";"30 år";635
"Fredericia";"31 år";587
"Fredericia";"32 år";616
"Fredericia";"33 år";534
"Fredericia";"34 år";524
"Fredericia";"35 år";533
"Fredericia";"36 år";592
"Fredericia";"37 år";612
"Fredericia";"38 år";584
"Fredericia";"39 år";614
"Fredericia";"40 år";602
"Fredericia";"41 år";657
"Fredericia";"42 år";605
"Fredericia";"43 år";688
"Fredericia";"44 år";670
"Fredericia";"45 år";731
"Fredericia";"46 år";652
"Fredericia";"47 år";715
"Fredericia";"48 år";781
"Fredericia";"49 år";738
"Fredericia";"50 år";739
"Fredericia";"51 år";702
"Fredericia";"52 år";711
"Fredericia";"53 år";760
"Fredericia";"54 år";853
"Fredericia";"55 år";813
"Fredericia";"56 år";801
"Fredericia";"57 år";798
"Fredericia";"58 år";720
"Fredericia";"59 år";643
"Fredericia";"60 år";690
"Fredericia";"61 år";631
"Fredericia";"62 år";651
"Fredericia";"63 år";596
"Fredericia";"64 år";628
"Fredericia";"65 år";629
"Fredericia";"66 år";583
"Fredericia";"67 år";589
"Fredericia";"68 år";503
"Fredericia";"69 år";536
"Fredericia";"70 år";547
"Fredericia";"71 år";548
"Fredericia";"72 år";575
"Fredericia";"73 år";625
"Fredericia";"74 år";642
"Fredericia";"75 år";606
"Fredericia";"76 år";550
"Fredericia";"77 år";532
"Fredericia";"78 år";481
"Fredericia";"79 år";386
"Fredericia";"80 år";377
"Fredericia";"81 år";315
"Fredericia";"82 år";295
"Fredericia";"83 år";246
"Fredericia";"84 år";230
"Fredericia";"85 år";209
"Fredericia";"86 år";188
"Fredericia";"87 år";146
"Fredericia";"88 år";145
"Fredericia";"89 år";96
"Fredericia";"90 år";98
"Fredericia";"91 år";78
"Fredericia";"92 år";65
"Fredericia";"93 år";45
"Fredericia";"94 år";50
"Fredericia";"95 år";29
"Fredericia";"96 år";22
"Fredericia";"97 år";18
"Fredericia";"98 år";16
"Fredericia";"99 år";5
"Fredericia";"100 år";0
"Fredericia";"101 år";1
"Fredericia";"102 år";1
"Fredericia";"103 år";0
"Fredericia";"104 år";0
"Fredericia";"105 år";0
"Fredericia";"106 år";1
"Fredericia";"107 år";0
"Fredericia";"108 år";0
"Fredericia";"109 år";0
"Fredericia";"110 år";0
"Fredericia";"111 år";0
"Fredericia";"112 år";0
"Fredericia";"113 år";0
"Fredericia";"114 år";0
"Fredericia";"115 år";0
"Fredericia";"116 år";0
"Fredericia";"117 år";0
"Fredericia";"118 år";0
"Fredericia";"119 år";0
"Fredericia";"120 år";0
"Fredericia";"121 år";0
"Fredericia";"122 år";0
"Fredericia";"123 år";0
"Fredericia";"124 år";0
"Fredericia";"125 år";0
"Haderslev";"0 år";513
"Haderslev";"1 år";478
"Haderslev";"2 år";505
"Haderslev";"3 år";534
"Haderslev";"4 år";517
"Haderslev";"5 år";526
"Haderslev";"6 år";513
"Haderslev";"7 år";551
"Haderslev";"8 år";542
"Haderslev";"9 år";601
"Haderslev";"10 år";623
"Haderslev";"11 år";665
"Haderslev";"12 år";693
"Haderslev";"13 år";683
"Haderslev";"14 år";697
"Haderslev";"15 år";678
"Haderslev";"16 år";745
"Haderslev";"17 år";679
"Haderslev";"18 år";701
"Haderslev";"19 år";659
"Haderslev";"20 år";631
"Haderslev";"21 år";572
"Haderslev";"22 år";513
"Haderslev";"23 år";480
"Haderslev";"24 år";509
"Haderslev";"25 år";559
"Haderslev";"26 år";541
"Haderslev";"27 år";607
"Haderslev";"28 år";579
"Haderslev";"29 år";521
"Haderslev";"30 år";612
"Haderslev";"31 år";574
"Haderslev";"32 år";591
"Haderslev";"33 år";527
"Haderslev";"34 år";579
"Haderslev";"35 år";622
"Haderslev";"36 år";530
"Haderslev";"37 år";567
"Haderslev";"38 år";596
"Haderslev";"39 år";595
"Haderslev";"40 år";651
"Haderslev";"41 år";655
"Haderslev";"42 år";641
"Haderslev";"43 år";645
"Haderslev";"44 år";654
"Haderslev";"45 år";741
"Haderslev";"46 år";743
"Haderslev";"47 år";664
"Haderslev";"48 år";764
"Haderslev";"49 år";767
"Haderslev";"50 år";748
"Haderslev";"51 år";738
"Haderslev";"52 år";761
"Haderslev";"53 år";890
"Haderslev";"54 år";854
"Haderslev";"55 år";897
"Haderslev";"56 år";848
"Haderslev";"57 år";854
"Haderslev";"58 år";824
"Haderslev";"59 år";814
"Haderslev";"60 år";764
"Haderslev";"61 år";774
"Haderslev";"62 år";795
"Haderslev";"63 år";760
"Haderslev";"64 år";757
"Haderslev";"65 år";695
"Haderslev";"66 år";746
"Haderslev";"67 år";800
"Haderslev";"68 år";650
"Haderslev";"69 år";657
"Haderslev";"70 år";651
"Haderslev";"71 år";647
"Haderslev";"72 år";685
"Haderslev";"73 år";629
"Haderslev";"74 år";692
"Haderslev";"75 år";703
"Haderslev";"76 år";619
"Haderslev";"77 år";561
"Haderslev";"78 år";487
"Haderslev";"79 år";461
"Haderslev";"80 år";408
"Haderslev";"81 år";386
"Haderslev";"82 år";377
"Haderslev";"83 år";338
"Haderslev";"84 år";276
"Haderslev";"85 år";279
"Haderslev";"86 år";217
"Haderslev";"87 år";213
"Haderslev";"88 år";142
"Haderslev";"89 år";144
"Haderslev";"90 år";128
"Haderslev";"91 år";74
"Haderslev";"92 år";85
"Haderslev";"93 år";72
"Haderslev";"94 år";39
"Haderslev";"95 år";41
"Haderslev";"96 år";21
"Haderslev";"97 år";18
"Haderslev";"98 år";9
"Haderslev";"99 år";6
"Haderslev";"100 år";4
"Haderslev";"101 år";2
"Haderslev";"102 år";3
"Haderslev";"103 år";0
"Haderslev";"104 år";0
"Haderslev";"105 år";0
"Haderslev";"106 år";0
"Haderslev";"107 år";0
"Haderslev";"108 år";0
"Haderslev";"109 år";0
"Haderslev";"110 år";0
"Haderslev";"111 år";0
"Haderslev";"112 år";0
"Haderslev";"113 år";0
"Haderslev";"114 år";0
"Haderslev";"115 år";0
"Haderslev";"116 år";0
"Haderslev";"117 år";0
"Haderslev";"118 år";0
"Haderslev";"119 år";0
"Haderslev";"120 år";0
"Haderslev";"121 år";0
"Haderslev";"122 år";0
"Haderslev";"123 år";0
"Haderslev";"124 år";0
"Haderslev";"125 år";0
"Kolding";"0 år";1014
"Kolding";"1 år";1023
"Kolding";"2 år";959
"Kolding";"3 år";1020
"Kolding";"4 år";1009
"Kolding";"5 år";1051
"Kolding";"6 år";1009
"Kolding";"7 år";1042
"Kolding";"8 år";990
"Kolding";"9 år";1077
"Kolding";"10 år";1184
"Kolding";"11 år";1152
"Kolding";"12 år";1305
"Kolding";"13 år";1112
"Kolding";"14 år";1193
"Kolding";"15 år";1165
"Kolding";"16 år";1196
"Kolding";"17 år";1247
"Kolding";"18 år";1220
"Kolding";"19 år";1228
"Kolding";"20 år";1240
"Kolding";"21 år";1063
"Kolding";"22 år";1047
"Kolding";"23 år";1054
"Kolding";"24 år";1084
"Kolding";"25 år";1117
"Kolding";"26 år";1112
"Kolding";"27 år";1139
"Kolding";"28 år";1126
"Kolding";"29 år";1124
"Kolding";"30 år";1213
"Kolding";"31 år";1131
"Kolding";"32 år";1093
"Kolding";"33 år";1084
"Kolding";"34 år";1113
"Kolding";"35 år";1011
"Kolding";"36 år";1041
"Kolding";"37 år";997
"Kolding";"38 år";1020
"Kolding";"39 år";1067
"Kolding";"40 år";1075
"Kolding";"41 år";1116
"Kolding";"42 år";1166
"Kolding";"43 år";1182
"Kolding";"44 år";1268
