bo_kom_today,sognekode,sogn,Inviterede_i_sognet,Antal_inviteret_ikke_booket,Andel_inviteret_ikke_booket,Andel_booket,Andel_påbegyndt,Andel_færdigvaccineret
Mariagerfjord,8205,"N Onsild,Mariagerfjo",181,24,13%,0%,1%,86%
Mariagerfjord,8206,"Hvornum,Mariagerfjor",530,56,11%,0%,0%,89%
Mariagerfjord,8207,"Snæbum,Mariagerfjord",254,49,19%,0%,2%,79%
Mariagerfjord,8303,"Als,Mariagerfjord",1334,137,10%,0%,1%,89%
Mariagerfjord,8304,"Skelund,Mariagerfjor",939,135,14%,0%,2%,84%
Mariagerfjord,8305,"Visborg,Mariagerfjor",779,94,12%,0%,1%,87%
Mariagerfjord,8308,"Rostrup,Mariagerfjor",587,82,14%,0%,2%,84%
Mariagerfjord,8309,"Oue,Mariagerfjord",685,97,14%,0%,1%,85%
Mariagerfjord,8310,"Valsgård,Mariagerfjo",1263,103,8%,0%,1%,91%
Mariagerfjord,8311,"Astrup,Mariagerfjord",927,125,13%,0%,1%,85%
Mariagerfjord,8313,"Rold,Mariagerfjord",362,55,15%,0%,1%,84%
Mariagerfjord,8314,"Vebbestrup,Mariagerf",1048,149,14%,0%,1%,84%
Mariagerfjord,8315,"Øls,Mariagerfjord",419,27,6%,0%,1%,92%
Mariagerfjord,8316,"Hørby,Mariagerfjord",1613,111,7%,0%,1%,92%
Mariagerfjord,8317,"Døstrup,Mariagerfjor",452,64,14%,0%,1%,84%
Mariagerfjord,8521,"Simested,Vesthimmerl",57,<10,,,,
Mariagerfjord,8524,"Hvilsom,Mariagerfjor",414,38,9%,0%,0%,90%
Mariagerfjord,9173,"Falslev-Vindblæs,Mar",2395,271,11%,0%,1%,88%
Mariagerfjord,9184,"Arden,Mariagerfjord",2307,210,9%,0%,1%,90%
Mariagerfjord,9191,"Vive-Hadsund, Mariag",4721,490,10%,0%,1%,88%
Mariagerfjord,9216,"Ø Hurup,Mariagerfjor",919,74,8%,0%,1%,91%
Middelfart,,,105,38,36%,0%,3%,61%
Middelfart,7810,"Tanderup,Middelfart",343,40,12%,0%,1%,87%
Middelfart,7823,"Middelfart,Middelfrt",11714,957,8%,0%,1%,91%
Middelfart,7824,"Kauslunde,Middelfart",2617,287,11%,0%,1%,88%
Middelfart,7825,"Vejlby,Middelfart",1647,165,10%,0%,1%,89%
Middelfart,7826,"Strib,Middelfart",3846,249,6%,0%,1%,93%
Middelfart,7827,"Asperup,Middelfart",1369,155,11%,0%,1%,88%
Middelfart,7828,"Roerslev,Middelfart",310,31,10%,0%,1%,89%
Middelfart,7829,"Brenderup,Middelfart",2039,257,13%,0%,1%,86%
Middelfart,7830,"Fjelsted,Middelfart",605,96,16%,0%,1%,83%
Middelfart,7831,"Harndrup,Middelfart",763,109,14%,0%,1%,85%
Middelfart,7832,"Gelsted,Middelfart",2031,276,14%,0%,1%,85%
Middelfart,7834,"Balslev,Middelfart",244,30,12%,0%,0%,87%
Middelfart,7835,"Ejby,Middelfart",1935,220,11%,0%,1%,88%
Middelfart,7836,"N Åby,Middelfart",2840,353,12%,0%,1%,87%
Middelfart,7837,"Indslev,Middelfart",341,51,15%,0%,1%,84%
Middelfart,7838,"Gamborg,Middelfart",396,32,8%,0%,1%,91%
Middelfart,7839,"Udby,Middelfart",383,60,16%,0%,2%,82%
Middelfart,7840,"Føns,Middelfart",289,19,7%,0%,1%,92%
Middelfart,7841,"Ørslev,Middelfart",166,25,15%,0%,2%,83%
Middelfart,7842,"Husby,Middelfart",344,36,10%,0%,0%,89%
Middelfart,9251,"Paddesø,Nordfyns",40,11,28%,0%,0%,73%
Middelfart,9255,"Røjleskov,Middelfart",340,35,10%,0%,0%,90%
Morsø,,,33,19,58%,0%,6%,36%
Morsø,8668,"Sejerslev,Morsø",498,61,12%,0%,1%,86%
Morsø,8669,"Ejerslev,Morsø",143,15,10%,1%,1%,87%
Morsø,8670,"Jørsby,Morsø",71,<10,,,,
Morsø,8671,"Flade,Morsø",259,38,15%,0%,2%,83%
Morsø,8672,"Bjergby,Morsø",276,22,8%,0%,0%,92%
Morsø,8673,"Alsted,Morsø",152,16,11%,0%,1%,89%
Morsø,8674,"S Dråby,Morsø",207,31,15%,0%,0%,85%
Morsø,8675,"Solbjerg,Morsø",360,45,13%,0%,1%,86%
Morsø,8676,"Sundby,Morsø",517,31,6%,0%,1%,93%
Morsø,8677,"Dragstrup,Morsø",192,24,13%,0%,2%,86%
Morsø,8678,"Skallerup,Morsø",145,21,14%,0%,2%,83%
Morsø,8679,"Galtrup,Morsø",375,51,14%,0%,2%,84%
Morsø,8680,"Ø Jølby,Morsø",526,29,6%,0%,1%,94%
Morsø,8681,"Tødsø,Morsø",616,52,8%,0%,2%,89%
Morsø,8682,"Erslev,Morsø",538,65,12%,0%,1%,87%
Morsø,8692,"Nykøbing,Morsø",8217,782,10%,0%,1%,89%
Morsø,8693,"Lødderup,Morsø",547,77,14%,0%,0%,86%
Morsø,8694,"Elsø,Morsø",147,12,8%,1%,1%,90%
Morsø,8695,"Frøslev,Morsø",386,37,10%,1%,1%,89%
Morsø,8696,"Mollerup,Morsø",108,15,14%,0%,2%,84%
Morsø,8697,"Tæbring,Morsø",155,14,9%,0%,1%,90%
Morsø,8698,"Outrup,Morsø",188,19,10%,0%,0%,90%
Morsø,8699,"Rakkeby,Morsø",115,13,11%,0%,2%,87%
Morsø,8700,"Karby,Morsø",392,53,14%,0%,2%,85%
Morsø,8701,"Redsted,Morsø",424,58,14%,0%,1%,85%
Morsø,8702,"Hvidbjerg,Morsø",411,51,12%,0%,0%,87%
Morsø,8703,"Vejerslev,Morsø",603,86,14%,0%,1%,85%
Morsø,8704,"Blidstrup,Morsø",100,13,13%,0%,2%,85%
Morsø,8705,"Ljørslev,Morsø",164,26,16%,0%,0%,84%
Morsø,8706,"Ørding,Morsø",364,63,17%,0%,1%,82%
Morsø,8707,"Ø Assels,Morsø",426,49,12%,0%,1%,87%
Morsø,8708,"V Assels,Morsø",99,17,17%,0%,3%,80%
Morsø,9236,"Agerø,Morsø",29,<10,,,,
Norddjurs,,,65,25,38%,0%,3%,58%
Norddjurs,8159,"Fjellerup,Norddjurs",650,54,8%,0%,1%,91%
Norddjurs,8160,"Glesborg,Norddjurs",862,121,14%,0%,1%,85%
Norddjurs,8161,"Ørum,Norddjurs",1112,125,11%,0%,1%,88%
Norddjurs,8162,"Ginnerup,Norddjurs",428,49,11%,0%,1%,88%
Norddjurs,8165,"Anholt,Norddjurs",128,<10,,,,
Norddjurs,8166,"Ålsø,Norddjurs",1669,147,9%,0%,1%,90%
Norddjurs,8167,"Hoed,Norddjurs",168,21,13%,0%,1%,87%
Norddjurs,8168,"Vejlby-Grenaa,Norddj",178,30,17%,0%,1%,82%
Norddjurs,8169,"Homå,Norddjurs",230,24,10%,0%,1%,89%
Norddjurs,8217,"Fausing,Norddjurs",506,76,15%,0%,2%,83%
Norddjurs,8218,"Auning,Norddjurs",2686,284,11%,0%,1%,88%
Norddjurs,8221,"Ø Alling,Norddjurs",442,64,14%,0%,2%,83%
Norddjurs,8222,"V Alling,Norddjurs",122,17,14%,0%,1%,85%
Norddjurs,8231,"Grenaa,Norddjurs",11983,1299,11%,0%,1%,88%
Norddjurs,8232,"Hammelev,Norddjurs",243,50,21%,0%,1%,79%
Norddjurs,8233,"Enslev,Norddjurs",196,24,12%,0%,0%,88%
Norddjurs,8234,"Karlby,Norddjurs",90,<10,,,,
Norddjurs,8235,"Voldby,Norddjurs",549,89,16%,0%,0%,83%
Norddjurs,8236,"Veggerslev,Norddjurs",162,26,16%,0%,1%,83%
Norddjurs,8237,"Villersø,Norddjurs",139,23,17%,0%,1%,83%
Norddjurs,8238,"Gerrild,Norddjurs",553,46,8%,0%,1%,91%
Norddjurs,8239,"Hemmed,Norddjurs",860,66,8%,0%,1%,92%
Norddjurs,8240,"Rimsø,Norddjurs",247,33,13%,0%,1%,86%
Norddjurs,8241,"Kastbjerg,Norddjurs",220,20,9%,0%,0%,90%
Norddjurs,8260,"Holbæk,Norddjurs",326,60,18%,0%,1%,80%
Norddjurs,8261,"Udby,Norddjurs",180,23,13%,1%,1%,86%
Norddjurs,8262,"Voer,Norddjurs",188,27,14%,0%,2%,84%
Norddjurs,8263,"Estruplund,Norddjurs",272,27,10%,1%,0%,89%
Norddjurs,8264,"Ørsted,Norddjurs",1756,202,12%,0%,1%,88%
Norddjurs,8265,"Vivild,Norddjurs",969,109,11%,0%,1%,88%
Norddjurs,8266,"Vejlby,Norddjurs",1675,217,13%,0%,1%,86%
Norddjurs,8267,"Gjesing,Norddjurs",621,137,22%,0%,2%,76%
Norddjurs,8268,"Nørager,Norddjurs",619,71,11%,0%,1%,87%
Norddjurs,9159,"Stenvad,Norddjurs",443,81,18%,0%,1%,81%
Norddjurs,9327,"Lyngby-Albøge, Ndjur",1575,211,13%,0%,1%,85%
Nordfyns,,,75,35,47%,0%,0%,53%
Nordfyns,7843,"Lunde,Nordfyns",513,71,14%,0%,1%,86%
Nordfyns,7848,"Krogsbølle,Nordfyns",897,144,16%,0%,0%,84%
Nordfyns,7849,"Nørre Næraa,Nordfyns",379,69,18%,0%,1%,81%
Nordfyns,7850,"Bederslev,Nordfyns",176,16,9%,0%,1%,90%
Nordfyns,7851,"Klinte,Nordfyns",333,48,14%,0%,1%,85%
Nordfyns,7852,"Grindløse,Nordfyns",284,38,13%,0%,0%,86%
Nordfyns,7853,"Uggerslev,Nordfyns",527,98,19%,0%,1%,80%
Nordfyns,7854,"N Højrup,Nordfyns",141,30,21%,0%,1%,77%
Nordfyns,7855,"Skamby,Nordfyns",691,116,17%,0%,2%,82%
Nordfyns,7856,"Bogense,Nordfyns",3688,350,9%,0%,1%,89%
Nordfyns,7857,"Skovby,Nordfyns",867,154,18%,0%,2%,80%
Nordfyns,7858,"Ore,Nordfyns",560,66,12%,0%,2%,86%
Nordfyns,7859,"Guldbjerg,Nordfyns",150,24,16%,0%,1%,83%
Nordfyns,7860,"N Sandager,Nordfyns",224,41,18%,0%,0%,81%
Nordfyns,7861,"Ejlby,Nordfyns",105,23,22%,0%,1%,77%
Nordfyns,7862,"Melby,Nordfyns",181,18,10%,0%,1%,90%
Nordfyns,7863,"Særslev,Nordfyns",1058,155,15%,0%,1%,84%
Nordfyns,7864,"Hårslev,Nordfyns",1076,197,18%,0%,2%,80%
Nordfyns,7865,"Vigerslev,Nordfyns",2457,207,8%,0%,1%,90%
Nordfyns,7866,"Veflinge,Nordfyns",1068,160,15%,0%,1%,84%
Nordfyns,7867,"Søndersø,Nordfyns",3198,301,9%,0%,1%,89%
Nordfyns,7888,"Norup,Nordfyns",854,78,9%,0%,1%,90%
Nordfyns,7889,"Østrup,Nordfyns",409,48,12%,0%,0%,88%
Nordfyns,7890,"Skeby,Nordfyns",688,93,14%,0%,2%,85%
Nordfyns,7891,"Otterup,Nordfyns",4679,496,11%,0%,1%,88%
Nordfyns,7892,"Hjadstrup,Nordfyns",664,80,12%,0%,1%,87%
Nordfyns,9251,"Paddesø,Nordfyns",279,39,14%,0%,1%,84%
Nyborg,,,58,18,31%,0%,2%,67%
Nyborg,7724,"Nyborg,Nyborg",13432,1373,10%,0%,1%,89%
Nyborg,7725,"Avnslev,Nyborg",1088,108,10%,0%,2%,88%
Nyborg,7726,"Bovense,Nyborg",231,26,11%,0%,2%,87%
Nyborg,7727,"Flødstrup,Nyborg",792,94,12%,0%,1%,87%
Nyborg,7728,"Ullerslev,Nyborg",2584,253,10%,0%,1%,89%
Nyborg,7729,"Skellerup,Nyborg",532,69,13%,0%,2%,86%
Nyborg,7730,"Ellinge,Nyborg",392,51,13%,0%,2%,85%
Nyborg,7731,"Kullerup,Nyborg",251,38,15%,0%,1%,83%
Nyborg,7732,"Refsvindinge,Nyborg",796,97,12%,0%,2%,85%
Nyborg,7733,"Vindinge,Nyborg",3131,249,8%,0%,1%,91%
Nyborg,7734,"Frørup,Nyborg",675,73,11%,0%,1%,88%
Nyborg,7735,"Ørbæk,Nyborg",1662,141,8%,0%,1%,91%
Nyborg,7736,"Herrested,Nyborg",908,93,10%,0%,1%,88%
Nyborg,7769,"Ellested,Nyborg",192,21,11%,0%,0%,89%
Nyborg,7770,"Langå,Nyborg",248,37,15%,0%,2%,83%
Nyborg,7771,"Øksendrup,Nyborg",249,42,17%,0%,1%,82%
Nyborg,7773,"Svindinge,Nyborg",456,70,15%,0%,1%,84%
Nyborg,9256,"Tårup,Nyborg",527,54,10%,0%,0%,89%
Nyborg,9257,"Hjulby,Nyborg",198,26,13%,0%,3%,84%
Næstved,,,288,131,45%,0%,3%,51%
Næstved,7304,"Karrebæk,Næstved",2417,134,6%,0%,1%,94%
Næstved,7305,"Fodby,Næstved",644,58,9%,0%,2%,89%
Næstved,7306,"Herlufsholm,Næstved",5560,558,10%,0%,1%,89%
Næstved,7307,"Gunderslev,Næstved",311,54,17%,0%,2%,81%
Næstved,7317,"Hårslev,Næstved",697,110,16%,0%,2%,83%
Næstved,7318,"Ting-Jelling,Næstved",108,24,22%,0%,2%,76%
Næstved,7330,"Krummerup,Næstved",412,55,13%,0%,1%,85%
Næstved,7332,"Førslev,Næstved",814,134,16%,0%,1%,82%
Næstved,7333,"Vallensved,Næstved",499,105,21%,0%,2%,77%
Næstved,7334,"Marvede,Næstved",520,104,20%,0%,1%,79%
Næstved,7335,"Hyllinge,Næstved",658,104,16%,0%,1%,83%
Næstved,7336,"Kvislemark,Næstved",148,30,20%,0%,0%,80%
Næstved,7337,"Fyrendal,Næstved",646,126,20%,0%,1%,80%
Næstved,7462,"Næsby,Næstved",317,40,13%,0%,2%,85%
Næstved,7463,"Tyvelse,Næstved",254,42,17%,0%,1%,82%
Næstved,7464,"Sandby,Næstved",430,91,21%,0%,1%,78%
Næstved,7465,"Vrangstrup,Næstved",81,<10,,,,
Næstved,7472,"Everdrup,Næstved",909,116,13%,0%,1%,86%
Næstved,7473,"Snesere,Næstved",2331,329,14%,0%,1%,85%
Næstved,7499,"Toksværd,Næstved",1470,212,14%,0%,1%,84%
Næstved,7500,"Rønnebæk,Næstved",2113,231,11%,0%,1%,88%
Næstved,7501,"Holme Olstrp,Næstved",1304,184,14%,0%,1%,85%
Næstved,7502,"Næstelsø,Næstved",529,67,13%,0%,1%,86%
Næstved,7503,"Mogenstrup,Næstved",1712,178,10%,0%,1%,88%
Næstved,7504,"Vejlø,Næstved",1897,175,9%,0%,1%,90%
Næstved,7505,"V Egesborg,Næstved",305,45,15%,0%,1%,84%
Næstved,7506,"Hammer,Næstved",1279,196,15%,0%,1%,84%
Næstved,7510,"Skt Peders,Næstved",8661,1488,17%,0%,1%,82%
Næstved,7511,"Skt Mortens,Næstved",7680,937,12%,0%,1%,87%
Næstved,7513,"Aversi,Næstved",158,16,10%,0%,1%,89%
Næstved,7514,"Tybjerg,Næstved",739,119,16%,0%,1%,82%
Næstved,7515,"Herlufmagle,Næstved",2877,408,14%,0%,1%,85%
Næstved,7516,"Fensmark,Næstved",4447,474,11%,0%,1%,88%
Næstved,7517,"Rislev,Næstved",361,53,15%,0%,1%,84%
Næstved,7518,"Skelby,Næstved",607,105,17%,0%,1%,82%
Næstved,7519,"Glumsø,Næstved",2140,254,12%,0%,1%,87%
Næstved,7520,"Bavelse,Næstved",127,24,19%,0%,1%,80%
Næstved,9111,"Skt Jørgens,Næstved",6339,988,16%,0%,1%,83%
Næstved,9162,"Holsted, Næstved",8376,992,12%,0%,1%,87%
Næstved,9324,Fugl-Tys-Haldag Sogn,2557,359,14%,0%,1%,85%
Odder,,,77,23,30%,0%,5%,65%
Odder,8086,"Tunø,Odder",80,<10,,,,
Odder,8087,"Odder,Odder",11507,866,8%,0%,1%,92%
Odder,8088,"Torrild,Odder",406,44,11%,0%,1%,87%
Odder,8089,"Saksild,Odder",1397,105,8%,0%,1%,92%
Odder,8090,"Nølev,Odder",183,16,9%,1%,2%,89%
Odder,8091,"Randlev,Odder",547,69,13%,0%,1%,86%
Odder,8092,"Bjerager,Odder",658,57,9%,0%,2%,90%
Odder,8093,"Hundslund,Odder",1125,113,10%,0%,1%,89%
Odder,8094,"Ørting,Odder",758,60,8%,0%,1%,91%
Odder,8095,"Falling,Odder",422,59,14%,0%,0%,86%
Odder,8096,"Gosmer,Odder",462,51,11%,0%,1%,88%
Odder,8097,"Halling,Odder",1487,70,5%,0%,1%,95%
Odder,8098,"Gylling,Odder",906,141,16%,0%,1%,83%
Odder,8099,"Alrø,Odder",143,<10,,,,
Odense,,,594,244,41%,0%,6%,53%
Odense,7774,"Skt Knuds,Odense",9046,947,10%,0%,2%,88%
Odense,7775,"Ansgars,Odense",6122,702,11%,0%,2%,87%
Odense,7776,"Bolbro,Odense",9981,1614,16%,0%,2%,82%
Odense,7777,"Thomas Kingos,Odense",7246,503,7%,0%,1%,92%
Odense,7778,"Munkebjerg,Odense",7592,742,10%,0%,1%,89%
Odense,7779,"Vor Frue,Odense",8404,956,11%,0%,2%,87%
Odense,7780,"Korsløkke,Odense",11293,1954,17%,0%,2%,81%
Odense,7781,"Skt Hans,Odense",3635,456,13%,0%,2%,85%
Odense,7782,"Fredens,Odense",18033,2249,12%,0%,2%,86%
Odense,7783,"Hans Tausens,Odense",4293,421,10%,0%,1%,89%
Odense,7784,"Paarup,Odense",9317,740,8%,0%,1%,91%
Odense,7785,"Korup,Odense",3979,338,8%,0%,1%,90%
Odense,7786,"Ubberud,Odense",2247,255,11%,0%,1%,87%
Odense,7787,"Dalum,Odense",5794,602,10%,0%,1%,88%
Odense,7788,"Sanderum,Odense",5653,352,6%,0%,1%,93%
Odense,7789,"Brændekilde,Odense",485,63,13%,0%,0%,87%
Odense,7790,"Bellinge,Odense",4726,357,8%,0%,1%,91%
Odense,7791,"Stenløse,Odense",3026,287,9%,0%,1%,89%
Odense,7792,"Fangel,Odense",805,104,13%,0%,1%,86%
Odense,7844,"Lumby,Odense",3765,446,12%,0%,1%,87%
Odense,7845,"Allesø,Odense",356,32,9%,0%,1%,90%
Odense,7846,"Næsbyhovedbr,Odense",3323,281,8%,0%,1%,91%
Odense,7847,"Næsby,Odense",5505,476,9%,0%,1%,90%
Odense,7868,"Agedrup,Odense",2549,284,11%,0%,1%,88%
Odense,7877,"Seden,Odense",4986,670,13%,0%,1%,85%
Odense,7878,"Åsum,Odense",606,110,18%,0%,2%,80%
Odense,7879,"Fraugde,Odense",3525,425,12%,0%,2%,86%
Odense,7880,"Allerup,Odense",260,22,8%,0%,2%,90%
Odense,7881,"Davinde,Odense",378,57,15%,0%,1%,84%
Odense,7886,"Højby,Odense",4198,419,10%,0%,1%,89%
Odense,9093,"Vollsmose,Odense",8358,2741,33%,0%,3%,64%
Odense,9131,"Hjallese,Odense",7818,759,10%,0%,1%,89%
Odense,9142,"Dyrup,Odense",3396,281,8%,0%,1%,90%
Odense,9148,"Tornbjerg,Odense",6299,622,10%,0%,1%,89%
Odense,9252,"Stige,Odense",3026,229,8%,0%,1%,92%
Odense,9253,"Ravnebjerg,Odense",480,53,11%,0%,1%,88%
Odsherred,,,120,50,42%,0%,3%,55%
Odsherred,7255,"Vallekilde,Odsherred",735,110,15%,0%,1%,84%
Odsherred,7256,"Hørve,Odsherred",2249,324,14%,0%,1%,84%
Odsherred,7258,"Nykøbing,Odsherred",5576,694,12%,0%,1%,87%
Odsherred,7259,"Rørvig,Odsherred",1452,141,10%,0%,1%,89%
Odsherred,7260,"Odden,Odsherred",1187,114,10%,0%,1%,90%
Odsherred,7261,"Højby,Odsherred",3058,325,11%,0%,1%,89%
Odsherred,7262,"Vig,Odsherred",2972,404,14%,0%,2%,85%
Odsherred,7263,"N Asmindrup,Odsherre",955,146,15%,0%,1%,83%
Odsherred,7264,"Egebjerg,Odsherred",1340,186,14%,0%,2%,84%
Odsherred,7265,"Grevinge,Odsherred",2257,319,14%,0%,1%,85%
Odsherred,7266,"Asnæs,Odsherred",3716,389,10%,0%,1%,89%
Odsherred,7267,"Fårevejle,Odsherred",3436,475,14%,0%,1%,85%
Odsherred,9246,"Lumsås,Odsherred",855,131,15%,0%,1%,84%
Randers,,,313,160,51%,0%,5%,44%
Randers,8133,"Støvring,Randers",236,25,11%,0%,0%,89%
Randers,8134,"Mellerup,Randers",510,68,13%,0%,1%,86%
Randers,8135,"Haslund,Randers",1200,95,8%,0%,1%,91%
Randers,8136,"Ølst,Randers",351,76,22%,0%,1%,77%
Randers,8137,"Værum,Randers",344,33,10%,0%,1%,89%
Randers,8138,"Ørum,Randers",414,53,13%,0%,0%,87%
Randers,8145,"Årslev,Randers",157,20,13%,0%,1%,86%
Randers,8146,"Vorup,Randers",5970,599,10%,0%,1%,89%
Randers,8151,"Asferg,Randers",864,98,11%,0%,2%,86%
Randers,8152,"Fårup,Randers",976,114,12%,0%,1%,88%
Randers,8153,"Kousted,Randers",171,24,14%,0%,1%,85%
Randers,8154,"Råsted,Randers",476,54,11%,0%,2%,87%
Randers,8155,"Spentrup,Randers",2258,200,9%,0%,1%,90%
Randers,8156,"Gassum,Randers",765,129,17%,0%,1%,82%
Randers,8157,"Hald,Randers",548,88,16%,0%,2%,82%
Randers,8158,"Kærby,Randers",130,15,12%,0%,1%,88%
Randers,8181,"Skt Mortens,Randers",7636,1136,15%,0%,2%,83%
Randers,8182,"Skt Peders,Randers",7167,1118,16%,0%,2%,83%
Randers,8183,"Skt Clemens,Randers",7924,1078,14%,0%,2%,85%
Randers,8184,"Dronningborg,Randers",3761,347,9%,0%,1%,90%
Randers,8187,"Tvede,Randers",224,38,17%,0%,0%,83%
Randers,8188,"Linde,Randers",752,88,12%,0%,1%,87%
Randers,8189,"Udbyneder,Randers",1180,183,16%,0%,2%,83%
Randers,8190,"Kastbjerg,Randers",189,26,14%,0%,1%,85%
Randers,8191,"Dalbyneder,Randers",85,19,22%,0%,1%,76%
Randers,8192,"Dalbyover,Randers",263,62,24%,0%,2%,74%
Randers,8193,"Råby,Randers",408,79,19%,0%,1%,80%
Randers,8194,"Sødring,Randers",337,39,12%,0%,1%,88%
Randers,8195,"Ø Tørslev,Randers",986,93,9%,0%,1%,89%
Randers,8196,"Gjerlev,Randers",803,132,16%,0%,2%,82%
Randers,8197,"Enslev,Randers",268,38,14%,0%,1%,84%
Randers,8208,"Borup,Randers",359,52,14%,0%,1%,84%
Randers,8209,"Gimming,Randers",941,76,8%,0%,1%,91%
Randers,8210,"Lem,Randers",262,26,10%,0%,0%,90%
Randers,8211,"Harridslev,Randers",1313,120,9%,0%,1%,90%
Randers,8212,"Albæk,Randers",361,33,9%,0%,1%,90%
Randers,8213,"Kristrup,Randers",8260,710,9%,0%,1%,90%
Randers,8214,"Virring,Randers",867,95,11%,0%,1%,88%
Randers,8215,"Essenbæk,Randers",3387,260,8%,0%,1%,91%
Randers,8216,"Hørning,Randers",445,35,8%,0%,2%,90%
Randers,8510,"Nørbæk,Randers",192,34,18%,0%,0%,82%
Randers,8511,"Sønderbæk,Randers",266,46,17%,0%,2%,81%
Randers,8512,"Læsten,Randers",164,26,16%,0%,1%,84%
Randers,8513,"Ø Bjerregrav,Randers",1170,93,8%,0%,1%,91%
Randers,8514,"Ålum,Randers",528,64,12%,0%,1%,87%
Randers,8515,"Tånum,Randers",352,36,10%,0%,1%,88%
Randers,8516,"Hornbæk,Randers",3327,200,6%,0%,1%,93%
Randers,8628,"Ø Velling,Randers",253,25,10%,0%,1%,89%
Randers,8629,"Helstrup,Randers",227,30,13%,0%,1%,86%
Randers,8630,"Grensten,Randers",2104,163,8%,0%,1%,91%
Randers,8631,"Langå,Randers",2606,271,10%,0%,1%,89%
Randers,8632,"Torup,Randers",151,27,18%,0%,0%,82%
Randers,9078,"Skt Andreas,Randers",4792,887,19%,0%,2%,80%
Randers,9151,"Enghøj,Randers",6348,719,11%,0%,1%,88%
Rebild,,,52,17,33%,0%,10%,58%
Rebild,8279,"Brorstrup,Rebild",376,62,16%,0%,1%,82%
Rebild,8280,"Ravnkilde,Rebild",795,98,12%,0%,2%,86%
Rebild,8289,"Kgs Tisted,Rebild",171,31,18%,0%,1%,81%
Rebild,8290,"Binderup,Rebild",202,46,23%,0%,1%,76%
Rebild,8291,"Durup,Rebild",1178,155,13%,0%,1%,85%
Rebild,8292,"Rørbæk,Rebild",459,40,9%,0%,1%,90%
Rebild,8293,"Grynderup,Rebild",203,26,13%,0%,0%,87%
Rebild,8294,"Skibsted,Rebild",274,45,16%,0%,3%,81%
Rebild,8295,"Lyngby,Rebild",127,24,19%,1%,1%,80%
Rebild,8296,"St Brøndum,Rebild",304,39,13%,0%,0%,87%
Rebild,8297,"Siem,Rebild",110,17,15%,0%,1%,84%
Rebild,8298,"Torup,Rebild",217,18,8%,0%,1%,90%
Rebild,8299,"Gerding,Rebild",83,<10,,,,
Rebild,8300,"Blenstrup,Rebild",734,76,10%,0%,1%,89%
Rebild,8301,"Skørping,Rebild",3359,268,8%,0%,1%,90%
Rebild,8302,"Fræer,Rebild",264,32,12%,0%,0%,88%
Rebild,8334,"Ø Hornum,Rebild",1696,174,10%,0%,1%,89%
Rebild,8335,"Støvring,Rebild",7491,548,7%,0%,1%,91%
Rebild,8336,"Gravlev,Rebild",349,44,13%,0%,2%,85%
Rebild,8337,"Årestrup,Rebild",472,75,16%,0%,1%,82%
Rebild,8338,"Haverslev,Rebild",764,69,9%,0%,1%,90%
Rebild,8339,"Sønderup,Rebild",549,74,13%,0%,1%,85%
Rebild,8340,"Suldrup,Rebild",1369,166,12%,0%,2%,86%
Rebild,8341,"Veggerby,Rebild",594,66,11%,0%,1%,88%
Rebild,8346,"Bælum,Rebild",915,97,11%,0%,1%,88%
Rebild,8347,"Solbjerg,Rebild",452,70,15%,0%,1%,83%
Rebild,9065,"Stenild,Rebild",318,46,14%,0%,1%,84%
Rebild,9217,"Terndrup,Rebild",1558,168,11%,0%,2%,88%
Rebild,9238,"Sørup,Rebild",466,46,10%,0%,1%,89%
Ringkøbing-Skjern,,,141,73,52%,1%,4%,44%
Ringkøbing-Skjern,8749,"Ringkøbing,Rin-Skjer",4501,403,9%,0%,1%,90%
Ringkøbing-Skjern,8750,"Rindum,Ringk-Skjern",3863,294,8%,0%,1%,91%
Ringkøbing-Skjern,8751,"Velling,Ringk-Skjern",1159,101,9%,0%,1%,90%
Ringkøbing-Skjern,8752,"Hee,Ringkøbin-Skjern",770,145,19%,0%,1%,80%
Ringkøbing-Skjern,8753,"No,Ringkøbing-Skjern",516,79,15%,0%,2%,83%
Ringkøbing-Skjern,8754,"N Omme,Ringk-Skjern",529,63,12%,0%,2%,86%
Ringkøbing-Skjern,8755,"Brejning,Ring-Skjern",1806,205,11%,0%,2%,87%
Ringkøbing-Skjern,8756,"Torsted,Ringk-Skjern",323,40,12%,0%,1%,87%
Ringkøbing-Skjern,8757,"Hover,Ringkøb-Skjern",348,61,18%,0%,1%,81%
Ringkøbing-Skjern,8758,"Stadil,Ringk-Skjern",374,56,15%,0%,1%,84%
Ringkøbing-Skjern,8759,"Tim,Ringkøbin-Skjern",1059,116,11%,0%,1%,88%
Ringkøbing-Skjern,8761,"Vedersø,Ringk-Skjern",299,43,14%,0%,2%,84%
Ringkøbing-Skjern,8763,"Nysogn,Ringkø-Skjern",1000,127,13%,0%,1%,86%
Ringkøbing-Skjern,8764,"Gammelsogn,Ring-Skje",141,17,12%,0%,1%,87%
Ringkøbing-Skjern,8765,"Skjern,Ringkø-Skjern",7105,614,9%,0%,1%,90%
Ringkøbing-Skjern,8766,"Vorgod,Ringk-Skjern",1481,225,15%,0%,2%,83%
Ringkøbing-Skjern,8767,"Nørre Vium,Ring-Skje",544,86,16%,0%,2%,83%
Ringkøbing-Skjern,8768,"Herborg,Ringk-Skjern",952,113,12%,0%,1%,87%
