date,cases0_1,cases1_5,cases5_15,cases15_65,cases65,casesSum,pop0_1,pop1_4,pop5_14,pop15_64,pop65,popSum,ratio0_1,ratio1_4,ratio5_14,ratio15_64,ratio65,ratioAll,ratioK0_1,ratioK1_4,ratioK5_14,ratioK15_64,ratioK65,ratioKAll
1916-07-16,0,0,0,13,0,13,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0,0.0,0.0,3.809456830063061e-05,0.0,2.5820393343899834e-05,0.0,0.0,0.0,0.03809456830063061,0.0,0.025820393343899833
1916-07-23,0,0,0,5,1,6,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0,0.0,0.0,1.4651757038704081e-05,3.51160585735857e-05,1.191710462026146e-05,0.0,0.0,0.0,0.014651757038704081,0.0351160585735857,0.01191710462026146
1916-07-30,0,0,0,9,0,9,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0,0.0,0.0,2.6373162669667348e-05,0.0,1.7875656930392192e-05,0.0,0.0,0.0,0.026373162669667348,0.0,0.017875656930392194
1916-08-06,0,2,0,7,2,11,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0,5.488022391131356e-05,0.0,2.0512459854185715e-05,7.02321171471714e-05,2.184802513714601e-05,0.0,0.05488022391131356,0.0,0.020512459854185715,0.0702321171471714,0.02184802513714601
1916-08-13,0,0,1,9,1,11,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0,0.0,1.1364927832708262e-05,2.6373162669667348e-05,3.51160585735857e-05,2.184802513714601e-05,0.0,0.0,0.011364927832708262,0.026373162669667348,0.0351160585735857,0.02184802513714601
1916-08-20,0,0,2,7,2,11,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0,0.0,2.2729855665416524e-05,2.0512459854185715e-05,7.02321171471714e-05,2.184802513714601e-05,0.0,0.0,0.022729855665416524,0.020512459854185715,0.0702321171471714,0.02184802513714601
1916-08-27,0,0,0,15,1,16,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0,0.0,0.0,4.395527111611224e-05,3.51160585735857e-05,3.1778945654030566e-05,0.0,0.0,0.0,0.04395527111611224,0.0351160585735857,0.03177894565403057
1916-09-03,0,1,0,8,1,10,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0,2.744011195565678e-05,0.0,2.344281126192653e-05,3.51160585735857e-05,1.9861841033769102e-05,0.0,0.02744011195565678,0.0,0.02344281126192653,0.0351160585735857,0.0198618410337691
1916-09-10,0,2,2,16,0,20,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0,5.488022391131356e-05,2.2729855665416524e-05,4.688562252385306e-05,0.0,3.9723682067538204e-05,0.0,0.05488022391131356,0.022729855665416524,0.04688562252385306,0.0,0.0397236820675382
1916-09-17,0,0,2,10,0,12,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0,0.0,0.0,2.2729855665416524e-05,2.9303514077408162e-05,0.0,2.383420924052292e-05,0.0,0.0,0.022729855665416524,0.029303514077408162,0.0,0.02383420924052292
