"Døde pr. dag (eksperimentel statistik) efter køn, tid og alder"

" "," ","I alt"
"I alt"
" ","2008M05D13",137
" ","2008M05D14",136
" ","2008M05D15",142
" ","2008M05D16",136
" ","2008M05D17",156
" ","2008M05D18",159
" ","2008M05D19",139
" ","2008M05D20",145
" ","2008M05D21",131
" ","2008M05D22",131
" ","2008M05D23",136
" ","2008M05D24",146
" ","2008M05D25",146
" ","2008M05D26",149
" ","2008M05D27",159
" ","2008M05D28",165
" ","2008M05D29",170
" ","2008M05D30",155
" ","2008M05D31",168
" ","2008M06D01",153
" ","2008M06D02",156
" ","2008M06D03",142
" ","2008M06D04",145
" ","2008M06D05",155
" ","2008M06D06",131
" ","2008M06D07",147
" ","2008M06D08",144
" ","2008M06D09",166
" ","2008M06D10",140
" ","2008M06D11",126
" ","2008M06D12",150
" ","2008M06D13",134
" ","2008M06D14",137
" ","2008M06D15",147
" ","2008M06D16",135
" ","2008M06D17",114
" ","2008M06D18",151
" ","2008M06D19",165
" ","2008M06D20",141
" ","2008M06D21",128
" ","2008M06D22",141
" ","2008M06D23",148
" ","2008M06D24",129
" ","2008M06D25",142
" ","2008M06D26",133
" ","2008M06D27",148
" ","2008M06D28",126
" ","2008M06D29",137
" ","2008M06D30",151
" ","2008M07D01",127
" ","2008M07D02",157
" ","2008M07D03",151
" ","2008M07D04",138
" ","2008M07D05",152
" ","2008M07D06",133
" ","2008M07D07",146
" ","2008M07D08",142
" ","2008M07D09",107
" ","2008M07D10",131
" ","2008M07D11",148
" ","2008M07D12",142
" ","2008M07D13",124
" ","2008M07D14",147
" ","2008M07D15",151
" ","2008M07D16",146
" ","2008M07D17",117
" ","2008M07D18",136
" ","2008M07D19",154
" ","2008M07D20",135
" ","2008M07D21",122
" ","2008M07D22",140
" ","2008M07D23",135
" ","2008M07D24",131
" ","2008M07D25",138
" ","2008M07D26",140
" ","2008M07D27",142
" ","2008M07D28",134
" ","2008M07D29",152
" ","2008M07D30",127
" ","2008M07D31",142
" ","2008M08D01",156
" ","2008M08D02",149
" ","2008M08D03",129
" ","2008M08D04",154
" ","2008M08D05",140
" ","2008M08D06",139
" ","2008M08D07",147
" ","2008M08D08",129
" ","2008M08D09",115
" ","2008M08D10",129
" ","2008M08D11",129
" ","2008M08D12",123
" ","2008M08D13",123
" ","2008M08D14",127
" ","2008M08D15",129
" ","2008M08D16",134
" ","2008M08D17",131
" ","2008M08D18",144
" ","2008M08D19",129
